,property_type,subtype_of_property,Locality,Postal_code,price,Furnished,Kitchen type,Building condition,Number of frontages,Swimming pool,Garden surface,Terrace surface,Living area,Surface of the plot,Surface of the land,How many fireplaces?,Bedrooms,Type of sale
0,apartment,apartment-block,berchem sainte agathe,1082,720000€,0,1,To renovate,2,0,1,1,435,110,,1,10,
1,apartment,new-real-estate-project-apartments,brugge sint andries,8200,From 289800€ To 474800€,1,1,,,1,1,1,,,,1,,
2,house,town-house,laeken,1020,585000€,0,1,To be done up,2,0,1,1,255,221,,1,4,
3,house,penthouse,evere,1140,179000€,1,1,Good,,1,1,1,63,,,1,1,
4,house,house,ronse,9600,189000€,0,1,Good,2,0,1,1,130,160,,1,2,
5,apartment,apartment,blankenberge,8370,225000€,1,1,Good,2,1,1,1,62,,,1,2,
6,house,penthouse,blankenberge,8370,255000€,1,1,Good,2,1,1,1,42,,,1,1,
7,house,penthouse,blankenberge,8370,255000€,1,1,Good,2,1,1,1,42,,,1,1,
8,apartment,apartment,blankenberge,8370,340000€,1,1,Good,2,1,1,1,70,,,1,2,
9,apartment,apartment,blankenberge,8370,525000€,1,1,Good,2,1,1,1,75,,,1,2,
10,house,penthouse,blankenberge,8370,620000€,1,1,Good,2,1,1,1,150,,,1,3,
11,apartment,apartment-block,dison,4820,3699000€,0,1,Good,4,0,1,1,3189,3699,,1,94,
12,house,house,liege,4000,149000€,1,1,Good,3,0,1,1,113,64,,1,4,
13,apartment,apartment,liege,4020,169500€,0,1,Good,3,1,1,1,68,,,1,2,
14,apartment,apartment,evere,1140,215000€,0,1,Good,2,1,1,1,87,,,1,2,
